Date,Year,Paddock,Territory,Nest_ID,Egg_ID,Length,Width,Female,Known_lay_order,Clutch_size,Clutch_size_certain,Picture_eggs,,Comments,,
22-Sep-08,2008,NPB,NPB E,O,O2,47.34,34.55,,,,,,,,,
22-Sep-08,2008,NPB,NPB E,O,O3,47.95,35.69,,,,,,,,,
22-Sep-08,2008,NPB,NPB E,O,O4,47.71,34.19,,,,,,,,,
22-Sep-08,2008,NPB,NPB E,O,O5,48.00,34.33,,,,,,,,,
22-Sep-08,2008,NPB,NPB E,O,O6,50.75,37.12,,,,,,,SWABBED,,
22-Sep-08,2008,NPB,NPB E,O,O7,47.14,33.67,,,,,,,SWABBED,,
22-Sep-08,2008,NPB,NPB E,O,O8,47.64,33.78,,,,,,,COLLECTED,,
22-Sep-08,2008,NPB,NPB E,P,P1,55.47,37.26,,,,,,,,,
22-Sep-08,2008,NPB,NPB E,P,P2,54.98,37.62,,,,,,,,,
22-Sep-08,2008,NPB,NPB E,P,P3,54.78,38.07,,,,,,,,,
22-Sep-08,2008,NPB,NPB E,P,P4,55.41,37.12,,,,,,,,,
22-Sep-08,2008,NPB,NPB E,P,P5,52.63,35.89,,,,,,,,,
23-Sep-08,2008,SY,SY NW,V,V1,51.65,35.07,,,,,,,,,
23-Sep-08,2008,SY,SY NW,V,V2,50.70,36.86,,,,,,,,,
23-Sep-08,2008,SY,SY NW,V,V3,52.03,36.99,,,,,,,,,
23-Sep-08,2008,SY,SY NW,V,V4,49.90,35.81,,,,,,,,,
23-Sep-08,2008,SY,SY NW,V,V5,54.81,36.77,,,,,,,,,
23-Sep-08,2008,SY,SY NW,V,V6,53.93,36.96,,,,,,,,,
5-Oct-08,2008,HAY ,HAY WL,Y,Y1,51.07,36.86,,,,,,,,,
5-Oct-08,2008,HAY ,HAY WL,Y,Y2,53.63,37.26,,,,,,,,,
5-Oct-08,2008,HAY ,HAY WL,Y,Y3,52.28,36.78,,,,,,,,,
5-Oct-08,2008,HAY ,HAY WL,Y,Y4,51.29,36.54,,,,,,,,,
7-Oct-08,2008,CAMP,CAMP RD STREAM,Z,Z4,48.81,38.22,,,,,,,"3 CHICKS FOUND WITH EGGS, EGG 4 ALMOST HATCHING",,
7-Oct-08,2008,CAMP,CAMP RD STREAM,Z,Z5,55.80,38.62,,,,,,,,,
7-Oct-08,2008,CAMP,CAMP RD STREAM,Z,Z6,56.19,37.27,,,,,,,,,
7-Oct-08,2008,CAMP,CAMP RD STREAM,Z,Z7,55.45,37.67,,,,,,,,,
7-Oct-08,2008,CAMP,CAMP RD STREAM,Z,Z8,50.92,35.67,,,,,,,,,
10-Oct-08,2008,CAMP ,CAMP RD W,AC,AC1,52.31,36.03,,,,,,,,,
10-Oct-08,2008,CAMP ,CAMP RD W,AC,AC2,54.21,35.04,,,,,,,,,
10-Oct-08,2008,CAMP ,CAMP RD W,AC,AC3,51.00,36.00,,,,,,,,,
10-Oct-08,2008,CAMP ,CAMP RD W,AC,AC4,52.06,35.89,,,,,,,,,
15-Oct-08,2008,NPB,NPB W,AI,AI1,50.13,35.49,,,,,,,"EVIDENCE OF CHICKS, LIKELY ABANDONED EGG",,
21-Oct-08,2008,CAMP ,CAMP WN,AK,AK1,53.49,37.39,,,,,,,,,
21-Oct-08,2008,CAMP ,CAMP WN,AK,AK2,52.74,37.49,,,,,,,BROKEN,,
21-Oct-08,2008,CAMP ,CAMP WN,AK,AK3,53.34,39.41,,,,,,,,,
21-Oct-08,2008,CAMP ,CAMP WN,AK,AK4,54.78,39.20,,,,,,,CRACKED,,
21-Oct-08,2008,CAMP ,CAMP WN,AK,AK5,54.09,38.67,,,,,,,,,
21-Oct-08,2008,CAMP ,CAMP WN,AK,AK6,53.98,37.61,,,,,,,,,
21-Oct-08,2008,CAMP ,CAMP WN,AK,AK7,54.27,39.25,,,,,,,CRACKED,,
21-Oct-08,2008,CAMP ,CAMP WN,AK,AK8,53.23,38.04,,,,,,,,,
21-Oct-08,2008,CAMP ,CAMP WN,AK,AK9,51.96,39.38,,,,,,,,,
21-Oct-08,2008,CAMP ,CAMP WN,AK,AK10,52.47,36.09,,,,,,,,,
28-Oct-08,2008,HAYTER'S,HAYTER'S WL N,AR,AR1,49.97,36.65,,,,,,,,,
28-Oct-08,2008,HAYTER'S,HAYTER'S WL N,AR,AR2,52.51,37.05,,,,,,,STAR PIP,,
28-Oct-08,2008,HAYTER'S,HAYTER'S WL N,AR,AR3,52.87,36.87,,,,,,,,,
28-Oct-08,2008,LAG,LAG WL E,AS,AS1,51.07,36.25,,,,,,,,,
28-Oct-08,2008,LAG,LAG WL E,AS,AS2,51.90,36.70,,,,,,,,,
28-Oct-08,2008,LAG,LAG WL E,AS,AS3,52.48,37.31,,,,,,,,,
28-Oct-08,2008,LAG,LAG WL E,AS,AS4,53.54,36.72,,,,,,,,,
28-Oct-08,2008,LAG,LAG WL E,AS,AS5,52.04,36.90,,,,,,,,,
29-Oct-08,2008,,,AQ,AQ2,50.47,35.58,,,,,,,AQ1 ANYWHERE?,,
29-Oct-08,2008,LAG,LAG WL E,AS,AS6,55.02,36.91,,6,,,,,,,
31-Oct-08,2008,,,AQ,AQ3,50.18,34.50,,,,,,,,,
2-Nov-08,2008,,,AQ,AQ4,50.69,34.35,,,,,,,,,
2-Nov-08,2008,LAG,LAG WL E,AS,AS7,52.14,36.58,,7,,,,,,,
4-Nov-08,2008,CAMP ,CAMP WL W,AW,AW3,55.27,38.40,,,,,,,"PIP, CAUGHT AND PROCESSED 2 CHICKS",,
4-Nov-08,2008,CAMP ,CAMP WL W,AW,AW4,57.38,40.59,,,,,,,,,
4-Nov-08,2008,CAMP ,CAMP WL W,AW,AW5,54.52,38.69,,,,,,,STAR PIP,,
4-Nov-08,2008,CAMP ,CAMP WL W,AW,AW6,61.13,41.03,,,,,,,,,
4-Nov-08,2008,CAMP ,CAMP WL W,AW,AW7,54.11,38.26,,,,,,,,,
4-Nov-08,2008,CAMP ,CAMP WL W,AW,AW8,51.87,37.10,,,,,,,,,
4-Nov-08,2008,,,AV,AV4?,51.11,36.51,,,,,,,,,
5-Nov-08,2008,CAMP,CAMP WL N,AY,AY1,54.15,38.17,,,,,,,MAYBE RENESTING OF B,,
5-Nov-08,2008,CAMP,CAMP WL N,AY,AY2,50.98,38.09,,,,,,,,,
5-Nov-08,2008,CAMP,CAMP WL N,AY,AY3,52.88,38.27,,,,,,,,,
5-Nov-08,2008,CAMP,CAMP WL N,AY,AY4,54.15,35.74,,,,,,,,,
5-Nov-08,2008,CAMP,CAMP WL N,AY,AY5,52.85,37.84,,,,,,,,,
6-Nov-08,2008,ABAY,ABAY N DITCH,BA,BA1,53.34,37.98,,,,,,,,,
6-Nov-08,2008,ABAY,ABAY N DITCH,BA,BA2,54.35,38.21,,,,,,,,,
6-Nov-08,2008,ABAY,ABAY N DITCH,BA,BA3,51.66,38.64,,,,,,,,,
6-Nov-08,2008,ABAY,ABAY N DITCH,BA,BA4,52.45,38.00,,,,,,,,,
8-Nov-08,2008,ABAY,ABAY N DITCH,BA,BA5,53.56,37.85,,,,,,,,,
10-Nov-08,2008,HAYTER'S ,HAYTER'S STREAM SE,BC,BC1,49.68,34.43,,,,,,,,,
10-Nov-08,2008,HAYTER'S ,HAYTER'S STREAM SE,BC,BC2,47.11,33.49,,,,,,,,,
10-Nov-08,2008,HAYTER'S ,HAYTER'S STREAM SE,BC,BC3,48.74,34.04,,,,,,,,,
10-Nov-08,2008,HAYTER'S ,HAYTER'S STREAM SE,BC,BC4,51.00,33.84,,,,,,,,,
10-Nov-08,2008,HAYTER'S ,HAYTER'S STREAM SE,BC,BC5,49.44,35.51,,,,,,,,,
10-Nov-08,2008,HAYTER'S ,HAYTER'S STREAM SE,BC,BC6,55.49,36.61,,,,,,,,,
10-Nov-08,2008,HAYTER'S ,HAYTER'S STREAM SE,BC,BC7,50.21,34.61,,,,,,,,,
10-Nov-08,2008,HAYTER'S ,HAYTER'S STREAM SE,BC,BC8,55.07,37.37,,,,,,,,,
10-Nov-08,2008,HAYTER'S ,HAYTER'S WL NE,BD,BD1,63.00,38.64,,,,,,,,,
10-Nov-08,2008,HAYTER'S ,HAYTER'S WL NE,BD,BD2,54.89,36.18,,,,,,,OUTSIDE NEST AND COLD,,
17-Nov-08,2008,ABAY ,ABAY S DITCH,BE,BE1,54.74,36.67,,,,,,,,,
17-Nov-08,2008,ABAY ,ABAY S DITCH,BE,BE2,53.70,37.26,,,,,,,,,
17-Nov-08,2008,ABAY ,ABAY S DITCH,BE,BE3,51.60,37.65,,,,,,,,,
17-Nov-08,2008,ABAY ,ABAY S DITCH,BE,BE4,51.60,37.91,,,,,,,,,
17-Nov-08,2008,ABAY ,ABAY S DITCH,BE,BE5,50.50,36.59,,,,,,,,,
17-Nov-08,2008,CAMP,CAMP RD GATE,BF,BF1,53.50,37.13,,,,,,,"1 EGG, COOLISH",,
2-Dec-08,2008,SY1,SY1 C,BJ,BJ1,52.51,36.11,,,,,,,,,
2-Dec-08,2008,SY1,SY1 C,BJ,BJ2,53.44,35.83,,,,,,,,,
2-Dec-08,2008,SY1,SY1 C,BJ,BJ3,51.81,37.09,,,,,,,,,
2-Dec-08,2008,SY1,SY1 C,BJ,BJ4,51.16,36.71,,,,,,,,,
2-Dec-08,2008,SY1,SY1 C,BJ,BJ5,50.48,36.30,,,,,,,,,
5-Dec-08,2008,SY1,SY1 NW,BK,BK1,48.75,35.89,,,,,,,,,
5-Dec-08,2008,SY1,SY1 NW,BK,BK2,50.82,36.79,,,,,,,,,
5-Dec-08,2008,SY1,SY1 NW,BK,BK3,51.06,36.61,,,,,,,,,
6-Dec-08,2008,SY1,SY1 NW,BK,BK4,51.47,36.64,,5,,,,,,,
8-Dec-08,2008,SY1,SY1 NW,BK,BK5,51.91,37.42,,,,,,,,,
8-Dec-08,2008,SY1,SY1 NW,BK,BK6,53.14,36.67,,,,,,,,,
8-Dec-08,2008,SY1,SY1 NW,BK,BK7,51.67,36.28,,,,,,,,,
10-Dec-08,2008,SY1,SY1 NW,BK,BK8,53.91,36.77,,8,,,,,,,
12-Dec-08,2008,CACT,CACT SE,BL,BL1,51.34,35.68,,,,,,,,,
12-Dec-08,2008,CACT,CACT SE,BL,BL2,50.91,35.26,,,,,,,,,
12-Dec-08,2008,CACT,CACT SE,BL,BL3,50.64,34.45,,,,,,,,,
12-Dec-08,2008,CACT,CACT SE,BL,BL4,50.22,34.66,,,,,,,,,
12-Dec-08,2008,CACT,CACT SE,BL,BL5,52.28,35.23,,,,,,,,,
12-Dec-08,2008,CAMP,CAMP WL N,BN,BN1,51.32,35.42,,,,,,,,,
12-Dec-08,2008,CAMP,CAMP WSW,BO,BO1,49.45,38.13,,,,,,,,,
12-Dec-08,2008,CAMP,CAMP WSW,BO,BO2,49.51,35.96,,,,,,,,,
12-Dec-08,2008,CAMP,CAMP WSW,BO,BO3,51.16,37.17,,,,,,,,,
12-Dec-08,2008,CAMP,CAMP WSW,BO,BO4,51.59,37.45,,,,,,,,,
12-Dec-08,2008,CAMP,CAMP WSW,BO,BO5,51.26,37.24,,,,,,,,,
12-Dec-08,2008,CAMP,CAMP WSW,BO,BO6,49.55,36.88,,,,,,,,,
12-Dec-08,2008,CAMP,CAMP WSW,BO,BO7,50.96,37.56,,,,,,,,,
12-Dec-08,2008,CAMP,CAMP WSW,BO,BO8,51.28,37.32,,,,,,,,,
12-Dec-08,2008,CAMP,CAMP WSW,BO,BO9,47.99,36.48,,,,,,,,,
12-Dec-08,2008,CAMP,CAMP WSW,BO,BO10,51.46,36.15,,,,,,,,,
22-Dec-08,2008,NPB,NPB NC,BQ,BQ1,47.64,36.53,,,,,,,,,
22-Dec-08,2008,NPB,NPB NC,BQ,BQ2,51.36,33.62,,,,,,,,,
22-Dec-08,2008,NPB,NPB NC,BQ,BQ3,49.29,35.72,,,,,,,,,
22-Dec-08,2008,NPB,NPB NC,BQ,BQ4,48.82,36.95,,,,,,,,,
22-Dec-08,2008,NPB,NPB NC,BQ,BQ5,49.62,36.69,,,,,,,,,
30-Dec-08,2008,NPB,NPB SW,BR,BR1,50.54,33.98,,,,,,,PIP,,
30-Dec-08,2008,NPB,NPB SW,BR,BR2,51.44,35.16,,,,,,,STAR PIP,,
30-Dec-08,2008,NPB,NPB SW,BR,BR3,46.93,34.65,,,,,,,STAR PIP,,
30-Dec-08,2008,NPB,NPB SW,BR,BR4,50.55,36.53,,,,,,,STAR PIP,,
30-Dec-08,2008,NPB,NPB SW,BR,BR5,51.54,36.25,,,,,,,STAR PIP,,
30-Dec-08,2008,NPB,NPB SW,BR,BR6,51.42,35.87,,,,,,,STAR PIP,,
30-Dec-08,2008,NPB,NPB SW,BR,BR7,52.72,36.31,,,,,,,,,
30-Dec-08,2008,NPB,NPB SW,BR,BR8,54.44,36.13,,,,,,,,,
30-Dec-08,2008,NPB,NPB SW,BR,BR9,53.78,37.04,,,,,,,,,
30-Dec-08,2008,NPB,NPB SW,BR,BR10,51.21,35.49,,,,,,,,,
27-Aug-10,2010,CACT,CACT NE NEAR RF NW,Y,Y5,56.20,37.10,,5,,,,,"Warm, new on the 26th",,Find all the first nests from 2010
27-Aug-10,2010,SY1,SY1 N IN EX,K,K8,52.00,36.20,,,,,,,"9 eggs warm, 1 new. M-WR/GB around and pissed",,
27-Aug-10,2010,SY1,SY1 N IN EX,K,K9,53.60,36.30,,,,,,,"9 eggs warm, 1 new. M-WR/GB around and pissed",,
27-Aug-10,2010,SY1,SY1 NW,AA,AA1,49.50,36.60,A,,,,,,,,
27-Aug-10,2010,SY1,SY1 NW,AA,AA2,45.70,32.70,B,,,,,,,,
27-Aug-10,2010,SY1,SY1 NW,AA,AA3,51.60,38.20,A,,,,,,,,
27-Aug-10,2010,SY1,SY1 NW,AA,AA4,50.00,37.10,A,,,,,,,,
27-Aug-10,2010,SY1,SY1 NW,AA,AA5,51.50,36.30,A,,,,,,,,
27-Aug-10,2010,CACT,CACT SE,AC,AC1,53.40,35.60,,,,,,,Cold,,
27-Aug-10,2010,CACT,CACT SE,AC,AC2,54.70,36.10,,,,,,,Cold,,
28-Aug-10,2010,SY1,SY1 NW,AA,AA6,51.00,37.30,A,,,,,,New today,,
28-Aug-10,2010,SY1,SY1 NW,AA,AA7,50.20,35.90,B,,,,,,"New today, removed on 29th",,
28-Aug-10,2010,NPB,NPB SE,U,U8,50.10,36.00,A,,,,,,From yesterday,,
28-Aug-10,2010,NPB,NPB SE,U,U9,50.50,37.30,B,,,,,,From yesterday,,
28-Aug-10,2010,NPB,NPB E,AB,AB1,54.00,38.60,B,,,,,,,,
28-Aug-10,2010,NPB,NPB E,AB,AB2,48.80,37.00,B,,,,,,,,
28-Aug-10,2010,NPB,NPB E,AB,AB3,52.00,37.50,B,,,,,,,,
28-Aug-10,2010,NPB,NPB E,AB,AB4,53.00,38.20,,,,,,,,,
28-Aug-10,2010,NPB,NPB E,AB,AB5,56.00,35.90,B,,,,,,,,
28-Aug-10,2010,NPB,NPB E,AB,AB6,52.30,35.60,A,,,,,,,,
28-Aug-10,2010,NPB,NPB E,AB,AB7,53.20,35.90,A,,,,,,,,
28-Aug-10,2010,NPB,NPB E,AB,AB8,50.90,35.40,A,,,,,,,,
28-Aug-10,2010,NPB,NPB E,AB,AB9,49.10,35.20,A,,,,,,,,
28-Aug-10,2010,NPB,NPB E,AB,AB10,51.20,35.00,A,,,,,,,,
30-Aug-10,2010,CACT,CACT SE,AC,AC3,54.50,35.10,,,,,,,New,,
30-Aug-10,2010,CACT,CACT SE,AC,AC4,55.50,35.00,,,,,,,New,,
30-Aug-10,2010,LAG,LAG FLATS,L,,54.90,35.90,,,,,,,to remove later today,,
30-Aug-10,2010,NPB,NPB SE,U,U10,51.20,34.90,,,,,,,,,
30-Aug-10,2010,NPB,NPB SE,U,U11,50.40,35.50,A,,,,,,,,
30-Aug-10,2010,NPB,NPB SE,U,U12,51.70,37.90,B,,,,,,,,
30-Aug-10,2010,NPB,NPB E,AB,AB11,54.90,37.70,A,11,,,,,,,
31-Aug-10,2010,RF,RF NE,AD,AD1,53.40,35.10,,,,,,,,,
31-Aug-10,2010,RF,RF NE,AD,AD2,52.20,34.60,,,,,,,,,
1-Sep-10,2010,RF,RF NE,AD,AD3,53.90,36.20,,3,,,,,,,
1-Sep-10,2010,CACT,CACT SE,AC,AC5,54.50,35.30,B,5,,,,,,,
1-Sep-10,2010,SLIP,SLIP W,AE,AE1,54.90,33.90,B,,,,,,,,
1-Sep-10,2010,SLIP,SLIP W,AE,AE2,54.20,34.90,B,,,,,,,,
1-Sep-10,2010,SLIP,SLIP W,AE,AE3,52.30,35.90,A,,,,,,,,
1-Sep-10,2010,SLIP,SLIP W,AE,AE4,47.00,34.60,A,,,,,,,,
1-Sep-10,2010,SLIP,SLIP W,AE,AE5,51.10,34.80,A,,,,,,little crack,,
1-Sep-10,2010,SLIP,SLIP W,AE,AE6,50.50,35.90,A,,,,,,,,
1-Sep-10,2010,SLIP,SLIP W,AE,AE7,50.90,36.10,A,,,,,,,,
1-Sep-10,2010,SLIP,SLIP W,AE,AE8,51.40,35.30,A,,,,,,,,
1-Sep-10,2010,SLIP,SLIP W,AE,AE9,54.70,34.00,B,,,,,,,,
2-Sep-10,2010,WCAMP,WCAMP N,AF,AF1,54.50,38.80,A,,,,,,,,
2-Sep-10,2010,WCAMP,WCAMP N,AF,AF2,50.50,37.00,B,,,,,,,,
2-Sep-10,2010,WCAMP,WCAMP N,AF,AF3,53.50,38.00,A,,,,,,,,
2-Sep-10,2010,WCAMP,WCAMP N,AF,AF4,52.10,37.20,A,,,,,,,,
2-Sep-10,2010,WCAMP,WCAMP N,AF,AF5,53.00,38.70,A,,,,,,,,
2-Sep-10,2010,WCAMP,WCAMP N,AF,AF6,52.70,38.50,A,,,,,,,,
2-Sep-10,2010,WCAMP,WCAMP N,AF,AF7,51.30,37.10,B,,,,,,,,
2-Sep-10,2010,WCAMP,WCAMP N,AF,AF8,53.20,36.10,B,,,,,,"slight crack, taken for sampling",,
3-Sep-10,2010,CACT,CACT N,AH,,,,,,,,,,Details in Connie's book,,
3-Sep-10,2010,CAMP,CAMP WL NE,AI,AI1,52.00,37.60,A,,,,,,"Eggs 1-6 in bowl A, incubated, eggs 7-10 in bowl B, incubated",,
3-Sep-10,2010,CAMP,CAMP WL NE,AI,AI2,51.40,38.00,A,,,,,,,,
3-Sep-10,2010,CAMP,CAMP WL NE,AI,AI3,52.40,37.40,A,,,,,,,,
3-Sep-10,2010,CAMP,CAMP WL NE,AI,AI4,52.30,39.20,A,,,,,,,,
3-Sep-10,2010,CAMP,CAMP WL NE,AI,AI5,53.00,38.10,A,,,,,,,,
3-Sep-10,2010,CAMP,CAMP WL NE,AI,AI6,51.00,37.00,B,,,,,,,,
3-Sep-10,2010,CAMP,CAMP WL NE,AI,AI7,49.90,40.00,B,,,,,,,,
3-Sep-10,2010,CAMP,CAMP WL NE,AI,AI8,51.80,37.60,B,,,,,,,,
3-Sep-10,2010,CAMP,CAMP WL NE,AI,AI9,50.70,37.50,B,,,,,,"cracked and rotten, removed",,
3-Sep-10,2010,CAMP,CAMP WL NE,AI,AI10,52.80,37.50,B,,,,,,,,
3-Sep-10,2010,CAMP,CAMP WL NE,AI,AI11,53.50,37.50,A,,,,,,"outside and cold, removed",,
5-Sep-10,2010,CACT,CACT N,AH,AH2,54.30,36.30,,2,,,,,Laid on the 4th,,
5-Sep-10,2010,CACT,CACT N,AH,AH3,52.60,36.50,,3,,,,,Laid on the 5th,,
5-Sep-10,2010,RF,RF NE,AD,AD4,55.70,35.30,,4,,,,,Old but wasn't measured before,,
5-Sep-10,2010,RF,RF NE,AD,AD5,55.50,35.20,,5,,,,,New,,
5-Sep-10,2010,NPB ,NPB NW,AJ,AJ1,49.00,36.50,,,,,,,,,
5-Sep-10,2010,NPB ,NPB NW,AJ,AJ2,48.40,36.60,,,,,,,,,
6-Sep-10,2010,CACT,CACT E,AK,AK1,53.00,35.00,A,,,,,,WB/RB pissed,,
6-Sep-10,2010,CACT,CACT E,AK,AK2,52.60,35.70,A,,,,,,,,
6-Sep-10,2010,CACT,CACT E,AK,AK3,51.90,35.40,A,,,,,,,,
6-Sep-10,2010,CACT,CACT E,AK,AK4,54.60,36.40,A,,,,,,,,
6-Sep-10,2010,CACT,CACT E,AK,AK5,53.70,36.30,B,,,,,,,,
6-Sep-10,2010,CACT,CACT E,AK,AK6,55.40,35.60,B,,,,,,,,
6-Sep-10,2010,CACT,CACT E,AK,AK7,52.30,36.60,B,,,,,,,,
6-Sep-10,2010,DUNE,DUNE NE,AL,AL1,52.00,36.40,,,,,,,,,
6-Sep-10,2010,DUNE,DUNE NE,AL,AL2,52.10,34.70,,,,,,,,,
6-Sep-10,2010,DUNE,DUNE NE,AL,AL3,51.20,36.30,,,,,,,,,
6-Sep-10,2010,DUNE,DUNE NE,AL,AL4,54.70,35.70,,,,,,,,,
6-Sep-10,2010,DUNE,DUNE NE,AL,AL5,52.00,36.00,,,,,,,,,
6-Sep-10,2010,DUNE,DUNE NE,AL,AL6,52.90,36.20,,,,,,,,,
6-Sep-10,2010,DUNE,DUNE W,AM,AM1,54.80,38.20,,,,,,,cold,,
6-Sep-10,2010,DUNE,DUNE W,AM,AM2,54.00,38.00,,,,,,,cold,,
6-Sep-10,2010,CAMP,CAMP WL SW,AN,AN1,53.00,35.70,,1,,,,,cold,,
6-Sep-10,2010,CAMP,CAMP WL S,AO,AO1,56.90,38.60,,,,,,,"3 cool eggs, with egg shells likely from 1 egg, maybe a chick around?",,
6-Sep-10,2010,CAMP,CAMP WL S,AO,AO2,56.80,37.00,,,,,,,"3 cool eggs, with egg shells likely from 1 egg, maybe a chick around?",,
6-Sep-10,2010,CAMP,CAMP WL S,AO,AO3,55.20,37.90,,,,,,,"3 cool eggs, with egg shells likely from 1 egg, maybe a chick around?",,
7-Sep-10,2010,DUNE,DUNE W,AM,AM3,54.70,38.90,,3,,,,,Different colour but same shape,,
7-Sep-10,2010,CACT,CACT N,AH,AH4,51.60,36.10,,4,,,,,,,
7-Sep-10,2010,CAMP,CAMP WL SW,AN,AN2,56.60,37.60,,2,,,,,,,
8-Sep-10,2010,HAYTER'S,HAYTER'S STREAM SE,AP,AP1,51.90,36.00,,,,,,,New eggs,,
8-Sep-10,2010,HAYTER'S,HAYTER'S STREAM SE,AP,AP2,50.20,37.60,,,,,,,New eggs,,
8-Sep-10,2010,HAYTER'S,HAYTER'S STREAM SE,AP,AP3,50.30,35.60,,,,,,,New eggs,,
8-Sep-10,2010,HAYTER'S,HAYTER'S STREAM SE,AP,AP4,51.60,35.90,,,,,,,New eggs,,
8-Sep-10,2010,HAYTER'S,HAYTER'S STREAM SE,AP,AP5,49.00,36.20,,,,,,,New eggs,,
8-Sep-10,2010,SWEDE,SWEDE E,AQ,AQ1,,,A,,,,,,Numbers are weird!!,,
8-Sep-10,2010,SWEDE,SWEDE E,AQ,AQ2,,,A,,,,,,Numbers are weird!!,,
8-Sep-10,2010,SWEDE,SWEDE E,AQ,AQ3,,,A,,,,,,Numbers are weird!!,,
8-Sep-10,2010,SWEDE,SWEDE E,AQ,AQ4,,,A,,,,,,Numbers are weird!!,,
8-Sep-10,2010,SWEDE,SWEDE E,AQ,AQ5,,,A,,,,,,Numbers are weird!!,,
8-Sep-10,2010,SWEDE,SWEDE E,AQ,AQ6,,,B,,,,,,Numbers are weird!!,,
8-Sep-10,2010,SWEDE,SWEDE E,AQ,AQ7,,,B,,,,,,Numbers are weird!!,,
8-Sep-10,2010,SWEDE,SWEDE E,AQ,AQ8,,,B,,,,,,Numbers are weird!!,,
8-Sep-10,2010,CACT,CACT S,AR,AR1,49.60,36.00,A,,,,,,,,
8-Sep-10,2010,CACT,CACT S,AR,AR2,48.80,36.50,A,,,,,,,,
8-Sep-10,2010,CACT,CACT S,AR,AR3,52.60,35.40,B,,,,,,,,
9-Sep-10,2010,DUNE,DUNE W,AM,AM4,55.00,38.70,,4,,,,,Measured on the 16th,,
10-Sep-10,2010,CACT,CACT S,AR,AR4,47.50,37.00,A,4,,,,,,,
10-Sep-10,2010,HAYTER'S,HAYTER'S STREAM SE,AP,AP6,52.40,35.90,,6,,,,,,,
10-Sep-10,2010,CACT,CACT N,AH,AH5,53.70,36.50,,,,,,,,,
10-Sep-10,2010,CACT,CACT N,AH,AH6,54.30,36.00,,,,,,,,,
10-Sep-10,2010,CACT,CACT N,AH,,68.00,46.50,,,,,,,Duck egg added,,
10-Sep-10,2010,CAMP,CAMP WL SW,AN,AN3,57.90,36.90,,3,,,,,,,
10-Sep-10,2010,NPB ,NP NW,AJ,,,,,,,,,,5 eggs find measurements for other 3,,
13-Sep-10,2010,DUNE,DUNE W,AM,AM5,54.00,38.70,,,,,,,Found on the 10th,,
11-Sep-10,2010,RF,RF NE,AD,,69.80,46.00,,,,,,,Duck egg added,,
13-Sep-10,2010,DUNE,DUNE W,AM,AM6,52.60,37.90,,,,,,,,,
